commons-io:commons-io:2.6 is dependency of org.apache.felix:org.apache.felix.http.bridge:4.0.10, indexing...
commons-io:commons-io:2.6 is dependency of org.apache.felix:org.apache.felix.http.bridge:4.0.12, indexing...
commons-io:commons-io:2.6 is dependency of org.apache.felix:org.apache.felix.http.bridge:4.1.0, indexing...
commons-io:commons-io:2.6 is dependency of org.apache.felix:org.apache.felix.http.bridge:4.1.2, indexing...
commons-io:commons-io:2.6 is dependency of org.apache.felix:org.apache.felix.http.bridge:4.1.4, indexing...
commons-io:commons-io:2.6 is dependency of org.apache.felix:org.apache.felix.http.bridge:4.1.6, indexing...
commons-io:commons-io:2.8.0 is dependency of org.apache.felix:org.apache.felix.http.jetty:4.1.6, indexing...
commons-io:commons-io:2.8.0 indexed.
commons-io:commons-io:2.8.0 is dependency of org.apache.felix:org.apache.felix.http.jetty:4.1.8, indexing...
commons-io:commons-io:2.8.0 is dependency of org.apache.felix:org.apache.felix.http.jetty:4.1.10, indexing...
commons-io:commons-io:2.8.0 is dependency of org.apache.felix:org.apache.felix.http.jetty:4.1.12, indexing...
commons-io:commons-io:2.8.0 is dependency of org.apache.felix:org.apache.felix.http.jetty:4.1.14, indexing...
commons-io:commons-io:2.8.0 is dependency of org.apache.felix:org.apache.felix.webconsole:4.6.2, indexing...
commons-io:commons-io:2.8.0 is dependency of org.apache.felix:org.apache.felix.webconsole:4.6.4, indexing...
commons-io:commons-io:2.8.0 is dependency of org.apache.felix:org.apache.felix.webconsole:4.7.0, indexing...
commons-io:commons-io:2.8.0 is dependency of org.apache.felix:org.apache.felix.webconsole:4.7.2, indexing...
